%% LaTeX2e file `advmulmaxbalance.dat'
%% generated by the `filecontents' environment
%% from source `SALE' on 2013/09/19.
%%
1,840.0,81.0,81.0,974.0,81.0,
2,1612.5,98.5,98.5,1070.5,93.5,
3,2609.0,180.0,165.0,1166.0,200.0,
4,3509.5,280.5,266.0,1969.0,301.0,
5,4499.5,390.5,376.0,2458.5,411.0,
6,5489.5,501.5,486.0,2847.5,521.0,
7,6390.5,602.0,586.5,3252.0,621.5,
8,7380.5,712.0,697.5,3641.0,731.5,
9,8280.5,812.5,797.5,3849.0,831.5,
10,9270.5,922.5,907.5,3938.5,941.5,
11,10370.5,2022.5,2007.5,4038.5,2041.5,
