%% LaTeX2e file `randommulmaxbalance.dat'
%% generated by the `filecontents' environment
%% from source `SALE' on 2013/09/19.
%%
1,921.5,83.5,84.0,971.0,83.0,
2,1554.5,171.0,592.0,1486.0,170.5,
3,3399.5,232.0,793.0,1977.0,382.5,
4,5066.5,403.5,924.5,2367.5,569.5,
5,6508.0,515.0,1031.0,2762.5,730.0,
6,7993.0,615.0,1131.5,3297.0,900.0,
7,9613.0,740.0,1311.5,3834.5,1086.0,
8,10828.0,870.0,1446.5,4283.0,1221.0,
9,12133.0,1020.5,1526.5,4572.5,1376.0,
10,13798.5,1041.0,1626.5,4824.5,1561.5,
11,15298.5,2441.0,2376.5,4974.5,3161.5,
