%% LaTeX2e file `randommulminbalance.dat'
%% generated by the `filecontents' environment
%% from source `SALE' on 2013/09/19.
%%
1,943.5,382.5,381.0,944.5,381.5,
2,1041.5,430.5,1059.5,1041.5,1069.5,
3,1851.5,788.0,1500.5,1848.0,1511.0,
4,2841.5,1228.0,1980.5,2338.0,1991.0,
5,3743.0,1630.0,2382.0,2745.0,2386.0,
6,4868.0,1870.0,2882.0,3135.0,2886.0,
7,5948.0,2330.0,3362.0,3325.0,3366.0,
8,7028.5,2810.0,3842.0,3614.5,3846.0,
9,7929.0,3210.5,4243.0,3821.0,4247.0,
10,8919.0,3650.5,4683.0,3911.0,4687.0,
11,10119.0,4850.5,5883.0,4011.0,5887.0,
